titleId,primaryTitle,originalTitle,averageRating,numVotes,startYear,runtimeMinutes,genres,foreignFlag,directors,primaryName
tt0288439,Bang Bang You're Dead,Bang Bang You're Dead,7.7,13161,2002,93,"Crime,Drama,Thriller",false,nm0272704,Guy Ferland
tt0289043,28 Days Later,28 Days Later...,7.5,449503,2002,113,"Drama,Horror,Sci-Fi",true,nm0000965,Danny Boyle
tt0289408,The Powerpuff Girls Movie,The Powerpuff Girls Movie,6.5,11076,2002,73,"Action,Adventure,Animation",false,nm0566833,Craig McCracken
tt0289635,Young Adam,Young Adam,6.3,14712,2003,98,"Crime,Drama",false,nm0533284,David Mackenzie
tt0289765,Red Dragon,Red Dragon,7.2,292271,2002,124,"Crime,Drama,Thriller",false,nm0711840,Brett Ratner
tt0289992,The Life of David Gale,The Life of David Gale,7.5,126508,2003,130,"Crime,Drama,Mystery",false,nm0000570,Alan Parker
tt0290002,Meet the Fockers,Meet the Fockers,6.3,287964,2004,115,"Comedy,Romance",false,nm0005366,Jay Roach
tt0290329,Visitor Q,Bijitâ Q,6.5,17116,2001,84,"Comedy,Drama,Horror",true,nm0586281,Takashi Miike
tt0290334,X2: X-Men United,X2,7.4,578885,2003,134,"Action,Sci-Fi,Thriller",true,nm0001741,Bryan Singer
tt0290673,Irreversible,Irréversible,7.3,148622,2002,97,"Crime,Drama,Mystery",true,nm0637615,Gaspar Noé
tt0291341,Mean Machine,Mean Machine,6.4,41968,2001,99,"Comedy,Crime,Drama",false,nm1032759,Barry Skolnick
tt0291376,Nayak: The Real Hero,Nayak: The Real Hero,7.8,17928,2001,187,"Action,Drama,Thriller",false,nm0788171,S. Shankar
